id,type,mfg,UPC,part,name,category,price,weight,image
0,Dummy,Dummy,0,0,Select Item or Scan,None,0,0,./images/searchbarcode.png
TOPL1325.7199762,Accent Chairs,Topline Furniture,782359204871,50927,Isadora Side Chair,Upholstery,$291.95 ,52,http://img.wfrcdn.com/lf/43/hash/18598/13319954/1/18598-13319954.jpg
QPV8085.7833913,Accent Chairs,UMA Enterprises,782359204872,50826,Millicent Teak & Leather Arm Chair,Upholstery,$335.95 ,29,http://img.wfrcdn.com/lf/43/hash/18598/14639850/1/18598-14639850.jpg
KARL1959.8421984,Accent Chairs,Karma Living,782359204873,SYPC100_382,Neema Peacock Accent Chair,Upholstery,$637.95 ,39,http://img.wfrcdn.com/lf/43/hash/18598/16206651/1/18598-16206651.jpg
FOXH1506.8106661,Accent Chairs,Fox Hill Trading,782359204874,AF 152 Mraffia,Arianna Accent Chair,Upholstery,$184.95 ,36,http://img.wfrcdn.com/lf/43/hash/18598/15337641/1/18598-15337641.jpg
TOPL1413.7354806,Accent Chairs,Topline Furniture,782359204875,49E546CF293A,Adriana Side Chair,Upholstery,$211.95 ,30,http://img.wfrcdn.com/lf/43/hash/18598/16104470/1/18598-16104470.jpg
TOPL1347.7291871,Accent Chairs,Hillsdale Furniture,782359185187,492555S2PC,Nikolai Side Chair,Upholstery,$183.95 ,20,http://img.wfrcdn.com/lf/43/hash/215/13551095/1/215-13551095.jpg
EIXS1118.5287088,Accent Pillows,Surya,764262487145,BB041-2222D,Decorative Polyester Throw Pillow,Bedding,$55.95 ,2,http://img.wfrcdn.com/lf/43/hash/331/15390188/1/331-15390188.jpg
NDY13994.7200301,Accent Pillows,DENY Designs,764262487146,16103-1thp16,Garima Dhawan Throw Pillow,Bedding,$42.99 ,1,http://img.wfrcdn.com/lf/43/hash/18598/13154680/1/18598-13154680.jpg
WTSN2373.6773113,Accent Pillows,TheWatsonShop,764262487147,SBBEISQUMONOBLK,Personalized Letter Pillow,Bedding,$47.95 ,1,http://img.wfrcdn.com/lf/43/hash/18598/12238801/1/18598-12238801.jpg
NDY13593.7245130,Accent Pillows,DENY Designs,764262487148,16753-1thp16,Penelope Pillow,Bedding,$23.95 ,1,http://img.wfrcdn.com/lf/43/hash/18598/12588504/1/18598-12588504.jpg
DQT2183.8278940,Accent Pillows,DR International,764262487149,NID00 12 1704,Nina Embroidered Pillow,Bedding,$14.95 ,1,http://img.wfrcdn.com/lf/43/hash/18598/15872419/1/18598-15872419.jpg
WLI2022.4819183,Accent Pillows,Woodland Imports,764262487150,54132,Paris Postcard Theme Linen Throw Pillow,Bedding,$35.99 ,1,http://img.wfrcdn.com/lf/43/hash/18816/6944436/1/18816-6944436.jpg
WQH1602.7817164,Accent Pillows,Primitives by Kathy INc.,883504217576,21757,Amore Pillow,Bedding,$23.95 ,2,http://img.wfrcdn.com/lf/43/hash/18598/14698981/1/18598-14698981.jpg
XEN1395.4971389,Accent Pillows,Taylor Linens,883504217577,21767,Nantucket Lumbar Pillow,Bedding,$19.95 ,1,http://img.wfrcdn.com/lf/43/hash/17816/6729563/1/17816-6729563.jpg
WZA2288.6498194,Accent Pillows,A&B Home Group Inc,883504217578,31376-WHIT,Ophelia Pillow,Bedding,$19.95 ,1,http://img.wfrcdn.com/lf/43/hash/13844/13567173/1/13844-13567173.jpg
WQH1797.8311367,Accent Pillows,Primitives by Kathy INc.,883504216500,21650,The Sun & The Sand Pillow,Bedding,$14.95 ,1,http://img.wfrcdn.com/lf/43/hash/18598/15924143/1/18598-15924143.jpg
WQH1461.7290849,Accent Pillows,Primitives by Kathy INc.,883504200127,20012,Crowned Skull Pillow,Bedding,$13.95 ,4,http://img.wfrcdn.com/lf/43/hash/18598/13628166/1/18598-13628166.jpg
WLI2167.5184649,Accent Stools,Woodland Imports,883504200128,56084,Barrel Stool,Accent,$78.99 ,7,http://img.wfrcdn.com/lf/43/hash/18816/12205743/1/18816-12205743.jpg
WBE1086.3051778,Accessories & Attachments,Weber,779240750180,6501,Adapter Hose for Gas Go-Anywhere Grills and Q,Heating & Cooling,$24.99 ,0,http://img.wfrcdn.com/lf/43/hash/17331/5332422/1/17331-5332422.jpg
XDE1617.4642656,Area Rugs,Cachet Decor,77924075019,LS92066A,2 Piece Moby Nesting Coffee Table Set,Rugs,$165.95 ,44,http://img.wfrcdn.com/lf/43/hash/11374/7004857/1/11374-7004857.jpg
BYB1736.8278988,Bar & Wine Tools,Bey-Berk,77924075020,fs109l,Gloria Stainless Steel Flask,Housewares,$25.95 ,1,http://img.wfrcdn.com/lf/43/hash/18598/15743382/1/18598-15743382.jpg
GN1976.6227072,Bar Stools,Calligaris,77924075021,CS/1445-LH_P201_D04,Bess 25.6 Stool,Furniture - Kitchen and Dining,$692.33 ,11,http://img.wfrcdn.com/lf/43/hash/518/8739951/1/518-8739951.jpg
HF6384.5174263,Bar Stools,Hillsdale Furniture,796995996793,5075-830,Dartford Swivel Bar Stool,Furniture - Kitchen and Dining,$199.38 ,37,http://img.wfrcdn.com/lf/43/hash/215/7697198/1/215-7697198.jpg
GRN1142.4744468,Bar Stools,Greenington,852659195039,GRN-123,Exotic Salix 26 Counter Stool,Furniture - Kitchen and Dining,$263.00 ,35,http://img.wfrcdn.com/lf/43/hash/2789/9750133/1/2789-9750133.jpg
SNPN2881.8283205,Bar Stools,Sunpan Modern,698043242626,24262,Porto 40 Bar Stool,Furniture - Kitchen and Dining,$358.99 ,35,http://img.wfrcdn.com/lf/43/hash/21126/13433889/1/21126-13433889.jpg
HOC1213.2689806,Bar Stools,sohoConcept,698043242627,DC1041-17,Pera Piston Adjustable Height Bar Stool,Furniture - Kitchen and Dining,$383.78 ,45,http://img.wfrcdn.com/lf/43/hash/10892/7285071/1/10892-7285071.jpg
AHB1611.4660120,Bar Stools,American Heritage,845634007052,129883WH,Alden Bar Stool,Furniture - Kitchen and Dining,$59.99 ,25,
XS3413.6584878,Bed Frames And Accessories,Serta,810869011051,SER-4059BG,7.5 Stabl-Base Ultimate Glides Bed Frame,Furniture - Bedroom,$100.95 ,15,http://img.wfrcdn.com/lf/43/hash/459/11275336/1/459-11275336.jpg
XS3413.6582748,Bed Frames And Accessories,Serta,810869011037,SER-4034BG,7.5 Stabl-Base Ultimate Glides Bed Frame,Furniture - Bedroom,$76.61 ,30,http://img.wfrcdn.com/lf/43/hash/459/11275324/1/459-11275324.jpg
XEN1642.5722196,Bed Skirts,Taylor Linens,810869011038,2008CELIS-K,Elisa Bed Skirt,Bedding,$160.95 ,3,http://img.wfrcdn.com/lf/43/hash/18598/9367177/1/18598-9367177.jpg
GHF1312.2603930,Bed Skirts,Greenland Home Fashions,810869011039,GL-1107FBST,Cotton Voile Bed Skirt 15 Drop,Bedding,$40.95 ,2,http://img.wfrcdn.com/lf/43/hash/4532/4467508/1/4532-4467508.jpg
XRG1591.7270499,Bedding Accessories,Peking Handicraft INC.,810869011040,80PHC55113C1501,Monroe Standard Sham,Bedding,$14.95 ,4,http://img.wfrcdn.com/lf/43/hash/18598/14288348/1/18598-14288348.jpg
XRT1290.6346961,Bedding Sets,City Scene,883893194366,184630,Not Neutral Poppy Cotton Duvet Cover Set,Bedding,$79.99 ,4,http://img.wfrcdn.com/lf/43/hash/6632/10310234/1/6632-10310234.jpg
ZSG2284.7283205,Bedding Sets,Susquehanna Glass,883893194367,JMSTK-9542-1251-2,Naughty Nice Set 2,Bedding,$16.49 ,2,
XHX2005.7558847,Beds,Hokku Designs,840628119582,IDF-7292Q,Verzaci Platform Bed,Furniture - Bedroom,$486.99 ,84,
FV57397.8207416,Benches,Safavieh,840628119583,MCR1014A,Cassie Tufted Bench,Accent,$129.95 ,17,http://img.wfrcdn.com/lf/43/hash/18598/15592184/1/18598-15592184.jpg
BMBB2006.7311864,Benches,Bombay Heritage,840628119584,BBFU0981,Leslie Upholstered Bench,Accent,$190.95 ,24,http://img.wfrcdn.com/lf/43/hash/18598/13683266/1/18598-13683266.jpg
WWZ1078.1651816,Blankets And Throws,Woven Workz,875740005697,WWZ-875,Gail Polyester Throw,Bedding,$48.99 ,2,http://img.wfrcdn.com/lf/43/hash/6782/4915851/1/6782-4915851.jpg
XRM2349.7318769,Blankets And Throws,Karma Living,875740005698,JLTH1578,Webley Throw,Bedding,$31.95 ,1,http://img.wfrcdn.com/lf/43/hash/18598/13788208/1/18598-13788208.jpg
NMI1001.4408032,Blinds and Shades,Wildon Home ®,875740005699,79347808140,Faux Wood Venetian Blind,Bedding,$61.47 ,16,http://img.wfrcdn.com/lf/43/hash/1261/16699621/1/1261-16699621.jpg
XRM1170.3785524,Blinds and Shades,Karma Living,712918323163,ABCUF09 IV_OR,Pompom Curtain Panel,Bedding,$29.95 ,2,http://img.wfrcdn.com/lf/43/hash/16714/5775994/1/16714-5775994.jpg
NMI1004.4407619,Blinds and Shades,Wildon Home ®,712918323164,79347808382,Faux Wood Venetian Blind,Bedding,$59.87 ,10,http://img.wfrcdn.com/lf/43/hash/1261/16699621/1/1261-16699621.jpg
WZA2707.7109862,Bookends,A&B Home Group Inc,712918323165,69345,Proud Peacock Bookend,Accent,$41.95 ,4,http://img.wfrcdn.com/lf/43/hash/18598/12932905/1/18598-12932905.jpg
